Fabric Code,Brand,Type,Color,File
41030,3,Shirt,"White With Dark Blue,Blue And Orange Checked",41030.jpg
41031,3,Shirt,"White With Dark blue,Blue And Light Blue Checked",41031.jpg
41033,3,Shirt,White With Dark Blue And grey Checked,41033.jpg
41035,3,Shirt,Vanilla Solid,41035.jpg
41037,3,Shirt,Light Pink Solid,41037.jpg
41039,3,Shirt,Light Blue Solid,41039.jpg
41042,3,Shirt,Black Solid,41042.jpg
41043,3,Shirt,Cream Solid,41043.jpg
41054,3,Shirt,Whith With Red PinStripe,41054.jpg
41060,3,Shirt,White With Dark Blue Pinstripe,41060.jpg
41061,3,Shirt,White With Dark Blue Checked,41061.jpg
41071,3,Shirt,White With Red And Black Check,41071.jpg
41072,3,Shirt,White With blue And black Stripes,41072.jpg
41074,3,Shirt,White With Pink And black Stripes,41074.jpg
41075,3,Shirt,White With Pink And black Checked,41075.jpg
41076,3,Shirt,Light Blue With White Stripe,41076.jpg
41077,3,Shirt,Light Blue White Checked,41077.jpg
41078,3,Shirt,Light Blue White PinStripe,41078.jpg
41083,3,Shirt,White With Pink PinStripe,41083.jpg
41089,3,Shirt,Blue With White Stripe,41089.jpg
41090,3,Shirt,Blue With White Checked,41090.jpg
41094,3,Shirt,Light Blue With Maroon And White Checked,41094.jpg
41099,3,Shirt,White With Light Blue Double Stripe,41099.jpg
41111,3,Shirt,White Blue PinStripe,41111.jpg
41113,3,Shirt,White Light Blue PinStripe,41113.jpg
41114,3,Shirt,White With Light Blue Small Check,41114.jpg
41115,3,Shirt,White With Navy PinStripe,41115.jpg
41116,3,Shirt,White With Navy Small Check,41116.jpg
41117,3,Shirt,White Black PinStripe,41117.jpg
41124,3,Shirt,White With Lilac Stripe,41124.jpg
41132,3,Shirt,White With Light Blue Stripe,41132.jpg
41133,3,Shirt,White With Pink Stripe,41133.jpg
41134,3,Shirt,White With Purple Stripe,41134.jpg
41148,3,Shirt,Pink Micro Herringbone,41148.jpg
41149,3,Shirt,Light Blue Micro Herringbone,41149.jpg
41151,3,Shirt,Purple Micro Herringbone,41151.jpg
41153,3,Shirt,White Herringbone,41153.jpg
41155,3,Shirt,Yellow Herringbone,41155.jpg
41157,3,Shirt,Pink Herringbone,41157.jpg
41158,3,Shirt,Purple Herringbone,41158.jpg
41159,3,Shirt,Lilac Herringbone,41159.jpg
41160,3,Shirt,Light Herringbone,41160.jpg
41161,3,Shirt,Blue Herringbone,41161.jpg
41164,3,Shirt,Super Subtle White Ellipses,41164.jpg
41165,3,Shirt,White Striped Herringbone,41165.jpg
41168,3,Shirt,White Check,41168.jpg
41171,3,Shirt,White Mini Herringbone,41171.jpg
41172,3,Shirt,White Mini Chessboard,41172.jpg
41176,3,Shirt,White Herringbone,41176.jpg
41181,3,Shirt,White Mini Check,41181.jpg
41186,3,Shirt,White Twill,41186.jpg
41187,3,Shirt,White Micro Herringbone,41187.jpg
41189,3,Shirt,White Diamond Dobby,41189.jpg
41190,3,Shirt,White Gently Striped Texture,41190.jpg
41194,3,Shirt,White With Orchid Stripe,41194.jpg
41195,3,Shirt,White With Light Blue Stripe,41195.jpg
41196,3,Shirt,White With Dark Blue Stripe,41196.jpg
41198,3,Shirt,Light Blue With Navy Blue Stripe,41198.jpg
